
Train    5 |    61/100  | loss:    0.5167 | fps:  117.4437 | acc:    0.7705   
Train    5 |    91/100  | loss:    0.4981 | fps:  119.0902 | acc:    0.7885   
Val    5 |     1/13   | loss:    0.7500 | fps:  348.7552 | acc:    0.5000   
Train    6 |     1/100  | loss:    0.5623 | fps:  145.8438 | acc:    0.7500   
Train    6 |    31/100  | loss:    0.4877 | fps:  119.6099 | acc:    0.7944   
Train    6 |    61/100  | loss:    0.4408 | fps:  120.9700 | acc:    0.8176   
Train    6 |    91/100  | loss:    0.4622 | fps:  119.1809 | acc:    0.7967   
Val    6 |     1/13   | loss:    0.3067 | fps:  364.6032 | acc:    1.0000   
Train    7 |     1/100  | loss:    1.0091 | fps:  133.6905 | acc:    0.5000   
Train    7 |    31/100  | loss:    0.4479 | fps:  120.6552 | acc:    0.8105   
Train    7 |    61/100  | loss:    0.4760 | fps:  117.7882 | acc:    0.7828   
Train    7 |    91/100  | loss:    0.4564 | fps:  118.3701 | acc:    0.8022   
Val    7 |     1/13   | loss:    0.5407 | fps:  364.5992 | acc:    0.6250   
Train    8 |     1/100  | loss:    0.6430 | fps:  129.3770 | acc:    0.7500   
Train    8 |    31/100  | loss:    0.4419 | fps:  120.9008 | acc:    0.8347   
Train    8 |    61/100  | loss:    0.4143 | fps:  120.5751 | acc:    0.8361   
Train    8 |    91/100  | loss:    0.4314 | fps:  121.1769 | acc:    0.8310   
Val    8 |     1/13   | loss:    0.6572 | fps:   24.9299 | acc:    0.3750   
Train    9 |     1/100  | loss:    0.3762 | fps:  117.9621 | acc:    0.7500   
Train    9 |    31/100  | loss:    0.3790 | fps:  118.1868 | acc:    0.8306   
Train    9 |    61/100  | loss:    0.4246 | fps:  118.4570 | acc:    0.8115   
Train    9 |    91/100  | loss:    0.4197 | fps:  117.4345 | acc:    0.8132   
Val    9 |     1/13   | loss:    0.5526 | fps:  364.6071 | acc:    0.6250   
Train   10 |     1/100  | loss:    0.3653 | fps:  131.4994 | acc:    0.7500   
Train   10 |    31/100  | loss:    0.4264 | fps:  120.7926 | acc:    0.8306   
Train   10 |    61/100  | loss:    0.4375 | fps:  118.4521 | acc:    0.8074   
Train   10 |    91/100  | loss:    0.4350 | fps:  116.3138 | acc:    0.8091   
Val   10 |     1/13   | loss:    0.4884 | fps:  364.6032 | acc:    0.6250   
Train   11 |     1/100  | loss:    0.3260 | fps:  131.4963 | acc:    0.8750   
Train   11 |    31/100  | loss:    0.3698 | fps:  109.2105 | acc:    0.8306   
Train   11 |    61/100  | loss:    0.3943 | fps:  112.9743 | acc:    0.8279   
Train   11 |    91/100  | loss:    0.3750 | fps:  116.0012 | acc:    0.8420   
Val   11 |     1/13   | loss:    0.5629 | fps:  381.9644 | acc:    0.7500   
Train   12 |     1/100  | loss:    0.8613 | fps:  133.7555 | acc:    0.6250   
Train   12 |    31/100  | loss:    0.4234 | fps:  117.6941 | acc:    0.7863   
Train    0 |     1/1879 | loss:    0.8361 | fps:    6.2122 | acc:    0.3750   
Train    0 |    31/1879 | loss:    1.0187 | fps:   55.8494 | acc:    0.6089   
Train    0 |    61/1879 | loss:    0.8871 | fps:   65.4325 | acc:    0.6373   
Train    0 |    91/1879 | loss:    0.7991 | fps:   67.6901 | acc:    0.6484   
Train    0 |   121/1879 | loss:    0.7456 | fps:   68.5609 | acc:    0.6570   
Train    0 |   151/1879 | loss:    0.6985 | fps:   70.4467 | acc:    0.6680   
Train    0 |   181/1879 | loss:    0.6500 | fps:   71.7584 | acc:    0.6941   
Train    0 |   211/1879 | loss:    0.6310 | fps:   72.0365 | acc:    0.7073   
Train    0 |   241/1879 | loss:    0.6033 | fps:   72.4913 | acc:    0.7230   
Train    0 |   271/1879 | loss:    0.5954 | fps:   73.0173 | acc:    0.7223   
Train    0 |   301/1879 | loss:    0.5842 | fps:   72.9780 | acc:    0.7317   
Train    0 |   331/1879 | loss:    0.5797 | fps:   72.9146 | acc:    0.7387   
Train    0 |   361/1879 | loss:    0.5719 | fps:   73.4154 | acc:    0.7452   
Train    0 |   391/1879 | loss:    0.5626 | fps:   73.5139 | acc:    0.7503   
Train    0 |   421/1879 | loss:    0.5515 | fps:   73.5040 | acc:    0.7527   
Train    0 |   451/1879 | loss:    0.5434 | fps:   73.4317 | acc:    0.7561   
Train    0 |   481/1879 | loss:    0.5360 | fps:   73.4156 | acc:    0.7614   
Train    0 |   511/1879 | loss:    0.5215 | fps:   73.4867 | acc:    0.7693   
Train    0 |   541/1879 | loss:    0.5178 | fps:   73.3886 | acc:    0.7706   
Train    0 |   571/1879 | loss:    0.5078 | fps:   73.1781 | acc:    0.7752   
Train    0 |   601/1879 | loss:    0.5111 | fps:   73.4305 | acc:    0.7741   
Train    0 |   631/1879 | loss:    0.5063 | fps:   73.5002 | acc:    0.7771   
Train    0 |   661/1879 | loss:    0.4986 | fps:   73.7674 | acc:    0.7812   
Train    0 |   691/1879 | loss:    0.4911 | fps:   74.2393 | acc:    0.7853   
Train    0 |   721/1879 | loss:    0.4860 | fps:   74.6230 | acc:    0.7888   
Train    0 |   751/1879 | loss:    0.4783 | fps:   74.8202 | acc:    0.7923   
Train    0 |   781/1879 | loss:    0.4715 | fps:   75.1580 | acc:    0.7953   
Train    0 |   811/1879 | loss:    0.4702 | fps:   75.5748 | acc:    0.7956   
Train    0 |   841/1879 | loss:    0.4664 | fps:   76.1192 | acc:    0.7983   
Train    0 |   871/1879 | loss:    0.4645 | fps:   76.5191 | acc:    0.7998   
Train    0 |   901/1879 | loss:    0.4613 | fps:   76.8383 | acc:    0.8020   
Train    0 |   931/1879 | loss:    0.4563 | fps:   77.1365 | acc:    0.8050   
Train    0 |   961/1879 | loss:    0.4485 | fps:   77.3823 | acc:    0.8084   
Train    0 |   991/1879 | loss:    0.4463 | fps:   77.6762 | acc:    0.8098   
Train    0 |  1021/1879 | loss:    0.4456 | fps:   77.7527 | acc:    0.8108   
Train    0 |  1051/1879 | loss:    0.4402 | fps:   78.0308 | acc:    0.8134   
Train    0 |  1081/1879 | loss:    0.4341 | fps:   78.1806 | acc:    0.8160   
Train    0 |  1111/1879 | loss:    0.4280 | fps:   78.4643 | acc:    0.8187   
Train    0 |  1141/1879 | loss:    0.4232 | fps:   78.5647 | acc:    0.8212   
Train    0 |  1171/1879 | loss:    0.4216 | fps:   78.6068 | acc:    0.8227   
Train    0 |  1201/1879 | loss:    0.4171 | fps:   78.7929 | acc:    0.8248   
Train    0 |  1231/1879 | loss:    0.4117 | fps:   78.9496 | acc:    0.8275   
Train    0 |  1261/1879 | loss:    0.4110 | fps:   78.9226 | acc:    0.8285   
Train    0 |  1291/1879 | loss:    0.4059 | fps:   79.0141 | acc:    0.8311   
Train    0 |  1321/1879 | loss:    0.4022 | fps:   79.1060 | acc:    0.8332   
Train    0 |  1351/1879 | loss:    0.3973 | fps:   79.3316 | acc:    0.8352   
Train    0 |  1381/1879 | loss:    0.3943 | fps:   79.5082 | acc:    0.8370   
Train    0 |  1411/1879 | loss:    0.3920 | fps:   79.6786 | acc:    0.8384   
Train    0 |  1441/1879 | loss:    0.3904 | fps:   79.8352 | acc:    0.8398   
Train    0 |  1471/1879 | loss:    0.3887 | fps:   79.9706 | acc:    0.8406   
Train    0 |  1501/1879 | loss:    0.3858 | fps:   80.0750 | acc:    0.8425   
Train    0 |  1531/1879 | loss:    0.3853 | fps:   80.1761 | acc:    0.8428   
Train    0 |  1561/1879 | loss:    0.3826 | fps:   80.2099 | acc:    0.8438   
Train    0 |  1591/1879 | loss:    0.3789 | fps:   80.2908 | acc:    0.8455   
Train    0 |  1621/1879 | loss:    0.3766 | fps:   80.3579 | acc:    0.8465   
Train    0 |  1651/1879 | loss:    0.3744 | fps:   80.3606 | acc:    0.8474   
Train    0 |  1681/1879 | loss:    0.3726 | fps:   80.3516 | acc:    0.8487   
Train    0 |  1711/1879 | loss:    0.3710 | fps:   80.3591 | acc:    0.8498   
Train    0 |  1741/1879 | loss:    0.3687 | fps:   80.4777 | acc:    0.8508   
Train    0 |  1771/1879 | loss:    0.3657 | fps:   80.4443 | acc:    0.8525   
Train    0 |  1801/1879 | loss:    0.3631 | fps:   80.4160 | acc:    0.8540   
Train    0 |  1831/1879 | loss:    0.3599 | fps:   80.4802 | acc:    0.8553   
Train    0 |  1861/1879 | loss:    0.3574 | fps:   80.4891 | acc:    0.8565   
Val    0 |     1/101  | loss:    0.3335 | fps:   33.3160 | acc:    0.8750   
Val    0 |    31/101  | loss:    0.4298 | fps:  114.4638 | acc:    0.7823   
Val    0 |    61/101  | loss:    0.4659 | fps:  124.5447 | acc:    0.7725   
Val    0 |    91/101  | loss:    0.4849 | fps:  126.6090 | acc:    0.7651   
Train    1 |     1/1879 | loss:    0.0288 | fps:  364.8450 | acc:    1.0000   
Train    1 |    31/1879 | loss:    0.2519 | fps:  267.9822 | acc:    0.8992   
Train    1 |    61/1879 | loss:    0.2534 | fps:  279.5137 | acc:    0.9057   
Train    1 |    91/1879 | loss:    0.2225 | fps:  282.2150 | acc:    0.9190   
Train    1 |   121/1879 | loss:    0.2460 | fps:  280.8765 | acc:    0.9132   
Train    1 |   151/1879 | loss:    0.2516 | fps:  281.9345 | acc:    0.9123   
Train    1 |   181/1879 | loss:    0.2496 | fps:  282.4453 | acc:    0.9157   
Train    1 |   211/1879 | loss:    0.2415 | fps:  283.4285 | acc:    0.9188   
Train    1 |   241/1879 | loss:    0.2229 | fps:  283.8211 | acc:    0.9258   
Train    1 |   271/1879 | loss:    0.2397 | fps:  284.5352 | acc:    0.9225   
